date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:35	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1676683195-ssl-df	https://pokeabby.netlify.app/robots.txt		(from )
15:19:35	6894/6894	---MCZ	200	added ('OK')	text/html	etag:%2229dca990cd62fd910686137ad9be7ec1-ssl-df%22	https://pokeabby.netlify.app/	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/pokeabby.netlify.app/index.html	(from )
15:19:36	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676683195-ssl-df	https://pokeabby.netlify.app/favicon.ico	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/pokeabby.netlify.app/favicon.0.delayed	(from https://pokeabby.netlify.app/)
15:19:36	397765/397765	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-611c5%22	https://me-qr.com/assets/css/material-kit.min.css?v=1	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/me-qr.com/assets/css/material-kit.min3860.css	(from https://pokeabby.netlify.app/)
15:19:37	144/144	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-700%22	https://me-qr.com/assets/css/base-style.css	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/me-qr.com/assets/css/base-style.css	(from https://pokeabby.netlify.app/)
15:19:37	54431/54431	---M--	200	added ('OK')	image/png	etag:%22a56e49267caf66a87e69ad1ed379bed5%22	https://i.imgur.com/Eg76izo.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/i.imgur.com/Eg76izo.png	(from https://pokeabby.netlify.app/)
15:19:38	13922/13922	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-3662%22	https://cdn.me-qr.com/ListofLinks/48442.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/cdn.me-qr.com/ListofLinks/48442.png	(from https://pokeabby.netlify.app/)
15:19:38	6355/6355	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-18d3%22	https://cdn.me-qr.com/ListofLinks/48444.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/cdn.me-qr.com/ListofLinks/48444.png	(from https://pokeabby.netlify.app/)
15:19:39	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676683195-ssl-df	https://pokeabby.netlify.app/assets/js/lazy.js?v=2	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/pokeabby.netlify.app/assets/js/lazy.65e1f.delayed	(from https://pokeabby.netlify.app/)
15:19:39	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Aug%202023%2014:19:39%20GMT	https://me-qr.com/img/arrow-left.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/me-qr.com/img/arrow-left.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
15:19:39	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Aug%202023%2014:19:39%20GMT	https://me-qr.com/img/arrow-right.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(5)/0/me-qr.com/img/arrow-right.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
